candidate,seed,fold,reference_score,score,delta_vs_reference
68_research_material_stack,20260629,3,0.9702148776878818,0.9702889198440902,7.404215620832044e-05
69_guarded_research_stack,20260629,3,0.9702148776878818,0.9703331033201971,0.00011822563231522754
84_classwise_research_blend,20260629,3,0.9702148776878818,0.9702511105728341,3.6232884952247524e-05
90_subset_guard_68_plus_84,20260629,3,0.9702148776878818,0.9702845045991323,6.962691125045328e-05
56_te_disagreement,20260629,4,0.9706975374869865,0.9706975374869865,0.0
68_research_material_stack,20260629,4,0.9706975374869865,0.970766642209229,6.910472224253006e-05
69_guarded_research_stack,20260629,4,0.9706975374869865,0.97053797676829,-0.00015956071869649424
84_classwise_research_blend,20260629,4,0.9706975374869865,0.9707990527633127,0.00010151527632618063
90_subset_guard_68_plus_84,20260629,4,0.9706975374869865,0.9708176959975711,0.00012015851058455596
56_te_disagreement,20260629,5,0.9700096060551023,0.9700096060551023,0.0
68_research_material_stack,20260629,5,0.9700096060551023,0.9700075708308421,-2.0352242602328374e-06
69_guarded_research_stack,20260629,5,0.9700096060551023,0.970001120361624,-8.485693478332834e-06
84_classwise_research_blend,20260629,5,0.9700096060551023,0.9700365483943952,2.694233929290135e-05
90_subset_guard_68_plus_84,20260629,5,0.9700096060551023,0.9700365483943952,2.694233929290135e-05
56_te_disagreement,20260630,1,0.971380173314835,0.971380173314835,0.0
68_research_material_stack,20260630,1,0.971380173314835,0.9713776189347471,-2.5543800878935485e-06
69_guarded_research_stack,20260630,1,0.971380173314835,0.9714560775537006,7.590423886560949e-05
84_classwise_research_blend,20260630,1,0.971380173314835,0.9714011996061963,2.102629136135903e-05
90_subset_guard_68_plus_84,20260630,1,0.971380173314835,0.9714110117432581,3.08384284231078e-05
56_te_disagreement,20260630,2,0.9699115640992337,0.9699115640992337,0.0
68_research_material_stack,20260630,2,0.9699115640992337,0.969983678322078,7.211422284425506e-05
69_guarded_research_stack,20260630,2,0.9699115640992337,0.9700288422275438,0.00011727812831008322
84_classwise_research_blend,20260630,2,0.9699115640992337,0.9700126558856311,0.00010109178639738925
90_subset_guard_68_plus_84,20260630,2,0.9699115640992337,0.9700082406406733,9.667654143952209e-05
56_te_disagreement,20260630,3,0.9708900563471848,0.9708900563471848,0.0
68_research_material_stack,20260630,3,0.9708900563471848,0.9708625125084359,-2.754383874892241e-05
69_guarded_research_stack,20260630,3,0.9708900563471848,0.9707957201214404,-9.433622574439582e-05
84_classwise_research_blend,20260630,3,0.9708900563471848,0.9708600251968421,-3.003115034272419e-05
90_subset_guard_68_plus_84,20260630,3,0.9708900563471848,0.9708890039781827,-1.0523690021635446e-06
56_te_disagreement,20260630,4,0.9705373894065112,0.9705373894065112,0.0
68_research_material_stack,20260630,4,0.9705373894065112,0.9705624025946525,2.5013188141298492e-05
69_guarded_research_stack,20260630,4,0.9705373894065112,0.970508427600803,-2.896180570821638e-05
84_classwise_research_blend,20260630,4,0.9705373894065112,0.9705957954031635,5.840599665229984e-05
90_subset_guard_68_plus_84,20260630,4,0.9705373894065112,0.9705913801582057,5.399075169443268e-05
56_te_disagreement,20260630,5,0.9701437842507828,0.9701437842507828,0.0
68_research_material_stack,20260630,5,0.9701437842507828,0.9702281601322301,8.437588144727393e-05
69_guarded_research_stack,20260630,5,0.9701437842507828,0.9701864486188265,4.266436804367668e-05
84_classwise_research_blend,20260630,5,0.9701437842507828,0.9702369906221456,9.32063713627862e-05
90_subset_guard_68_plus_84,20260630,5,0.9701437842507828,0.9702369906221456,9.32063713627862e-05
56_te_disagreement,20260631,1,0.9702238697758728,0.9702238697758728,0.0
68_research_material_stack,20260631,1,0.9702238697758728,0.9702468593615263,2.2989585653498956e-05
69_guarded_research_stack,20260631,1,0.9702238697758728,0.9703042873547195,8.04175788466921e-05
84_classwise_research_blend,20260631,1,0.9702238697758728,0.9702502929593381,2.642318346524064e-05
90_subset_guard_68_plus_84,20260631,1,0.9702238697758728,0.970255689851442,3.182007556912225e-05
56_te_disagreement,20260631,2,0.9707332794840955,0.9707332794840955,0.0
68_research_material_stack,20260631,2,0.9707332794840955,0.9706772833168822,-5.599616721330136e-05
69_guarded_research_stack,20260631,2,0.9707332794840955,0.9706159244007061,-0.00011735508338939216
84_classwise_research_blend,20260631,2,0.9707332794840955,0.9707195066153088,-1.3772868786676717e-05
90_subset_guard_68_plus_84,20260631,2,0.9707332794840955,0.9707150913703511,-1.8188113744432854e-05
56_te_disagreement,20260631,3,0.9707995602370151,0.9707995602370151,0.0
68_research_material_stack,20260631,3,0.9707995602370151,0.9709060147723756,0.00010645453536051175
69_guarded_research_stack,20260631,3,0.9707995602370151,0.970828987979402,2.942774238690049e-05
84_classwise_research_blend,20260631,3,0.9707995602370151,0.9709015995274178,0.00010203929040275561
90_subset_guard_68_plus_84,20260631,3,0.9707995602370151,0.9709148452622912,0.00011528502527613504
56_te_disagreement,20260631,4,0.9710551919284255,0.9710551919284255,0.0
68_research_material_stack,20260631,4,0.9710551919284255,0.971045865411332,-9.326517093510844e-06
69_guarded_research_stack,20260631,4,0.9710551919284255,0.9710261338495375,-2.9058078887977956e-05
84_classwise_research_blend,20260631,4,0.9710551919284255,0.9710635263911631,8.334462737624726e-06
90_subset_guard_68_plus_84,20260631,4,0.9710551919284255,0.9710704277299272,1.5235801501756185e-05
56_te_disagreement,20260631,5,0.9700510592453194,0.9700510592453194,0.0
68_research_material_stack,20260631,5,0.9700510592453194,0.9701383465323451,8.728728702567246e-05
69_guarded_research_stack,20260631,5,0.9700510592453194,0.970200185519528,0.0001491262742085997
84_classwise_research_blend,20260631,5,0.9700510592453194,0.9701717393408561,0.0001206800955366738
90_subset_guard_68_plus_84,20260631,5,0.9700510592453194,0.9701805698307716,0.00012951058545218608
56_te_disagreement,20260632,1,0.9702770855642099,0.9702770855642099,0.0
68_research_material_stack,20260632,1,0.9702770855642099,0.9702809736752545,3.888111044569875e-06
69_guarded_research_stack,20260632,1,0.9702770855642099,0.9703353927751267,5.830721091681923e-05
84_classwise_research_blend,20260632,1,0.9702770855642099,0.9702755767831506,-1.5087810593117368e-06
90_subset_guard_68_plus_84,20260632,1,0.9702770855642099,0.9702898041651701,1.2718600960193172e-05
56_te_disagreement,20260632,2,0.9710054853847634,0.9710054853847634,0.0
68_research_material_stack,20260632,2,0.9710054853847634,0.9710428004474595,3.731506269610829e-05
69_guarded_research_stack,20260632,2,0.9710054853847634,0.9710589867893722,5.350140460880226e-05
84_classwise_research_blend,20260632,2,0.9710054853847634,0.9710894389908438,8.395360608037805e-05
90_subset_guard_68_plus_84,20260632,2,0.9710054853847634,0.971085023745886,7.953836112262191e-05
56_te_disagreement,20260632,3,0.9707498715138415,0.9707498715138415,0.0
68_research_material_stack,20260632,3,0.9707498715138415,0.9708018374452608,5.196593141931771e-05
69_guarded_research_stack,20260632,3,0.9707498715138415,0.970790057679508,4.0186165666478146e-05
84_classwise_research_blend,20260632,3,0.9707498715138415,0.970797422200303,4.755068646145055e-05
90_subset_guard_68_plus_84,20260632,3,0.9707498715138415,0.9708018374452608,5.196593141931771e-05
56_te_disagreement,20260632,4,0.9710253990990311,0.9710253990990311,0.0
68_research_material_stack,20260632,4,0.9710253990990311,0.9710998659629556,7.446686392453827e-05
69_guarded_research_stack,20260632,4,0.9710253990990311,0.9710733037778029,4.7904678771804043e-05
84_classwise_research_blend,20260632,4,0.9710253990990311,0.971113111697829,8.771259879791771e-05
90_subset_guard_68_plus_84,20260632,4,0.9710253990990311,0.9711376740164243,0.00011227491739318474
56_te_disagreement,20260632,5,0.9698051325013183,0.9698051325013183,0.0
68_research_material_stack,20260632,5,0.9698051325013183,0.9697889046454603,-1.622785585797537e-05
69_guarded_research_stack,20260632,5,0.9698051325013183,0.9697177902567314,-8.734224458684103e-05
84_classwise_research_blend,20260632,5,0.9698051325013183,0.9698311279438868,2.5995442568538252e-05
90_subset_guard_68_plus_84,20260632,5,0.9698051325013183,0.9698222974539713,1.7164952653025978e-05
