candidate,group,value,count,delta_vs_reference,changed_rows_vs_reference
90_subset_guard_68_plus_84,redshift_bin,0,57735,0.0003737920267419259,47
90_subset_guard_68_plus_84,redshift_bin,1,57735,-0.00047891226764285033,57
90_subset_guard_68_plus_84,redshift_bin,2,57734,2.267277177991911e-05,50
90_subset_guard_68_plus_84,redshift_bin,3,57735,-0.0004862530747516969,12
90_subset_guard_68_plus_84,redshift_bin,4,57735,4.212173180495604e-05,7
90_subset_guard_68_plus_84,redshift_bin,5,57734,-0.00017776935832813923,11
90_subset_guard_68_plus_84,redshift_bin,6,57735,-0.0001411120892047535,13
90_subset_guard_68_plus_84,redshift_bin,7,57734,-8.825255783395658e-05,11
90_subset_guard_68_plus_84,redshift_bin,8,57735,0.0002713134113467852,34
90_subset_guard_68_plus_84,redshift_bin,9,57735,0.0,0
90_subset_guard_68_plus_84,g_i_bin,0,57735,0.0013085057514952148,13
90_subset_guard_68_plus_84,g_i_bin,1,57735,0.0008887615255980252,17
90_subset_guard_68_plus_84,g_i_bin,2,57734,0.0004856085475823946,36
90_subset_guard_68_plus_84,g_i_bin,3,57735,0.0001415737624053115,61
90_subset_guard_68_plus_84,g_i_bin,4,57735,-0.00012159667788869122,27
90_subset_guard_68_plus_84,g_i_bin,5,57734,-0.0004923060230968002,33
90_subset_guard_68_plus_84,g_i_bin,6,57735,4.788154106749598e-05,20
90_subset_guard_68_plus_84,g_i_bin,7,57734,5.9439956727747045e-05,14
90_subset_guard_68_plus_84,g_i_bin,8,57735,-0.00024316887948638843,11
90_subset_guard_68_plus_84,g_i_bin,9,57735,5.9854075763254855e-05,10
90_subset_guard_68_plus_84,u_r_bin,0,57735,0.0016890406345361209,27
90_subset_guard_68_plus_84,u_r_bin,1,57735,0.00042061196880549545,31
90_subset_guard_68_plus_84,u_r_bin,2,57734,0.0002749501648557917,24
90_subset_guard_68_plus_84,u_r_bin,3,57735,6.3210650398271e-05,31
90_subset_guard_68_plus_84,u_r_bin,4,57735,5.390427496310135e-05,22
90_subset_guard_68_plus_84,u_r_bin,5,57734,5.902026362392121e-05,17
90_subset_guard_68_plus_84,u_r_bin,6,57735,-0.000665977207903623,23
90_subset_guard_68_plus_84,u_r_bin,7,57734,-0.00026562032787946777,20
90_subset_guard_68_plus_84,u_r_bin,8,57735,-1.9049126349202083e-05,24
90_subset_guard_68_plus_84,u_r_bin,9,57735,-0.0004381590223860865,23
90_subset_guard_68_plus_84,mag_range_bin,0,57735,0.0014781518539319638,15
90_subset_guard_68_plus_84,mag_range_bin,1,57735,0.0008154536730471396,23
90_subset_guard_68_plus_84,mag_range_bin,2,57734,0.0004545240025448649,37
90_subset_guard_68_plus_84,mag_range_bin,3,57735,0.0001394700661689896,48
90_subset_guard_68_plus_84,mag_range_bin,4,57735,-0.00022238040452737806,27
90_subset_guard_68_plus_84,mag_range_bin,5,57734,0.00016830051078142727,13
90_subset_guard_68_plus_84,mag_range_bin,6,57735,-0.0003921901070654821,10
90_subset_guard_68_plus_84,mag_range_bin,7,57734,-0.0003287610976179245,29
90_subset_guard_68_plus_84,mag_range_bin,8,57735,-0.0004963145607370656,26
90_subset_guard_68_plus_84,mag_range_bin,9,57735,3.588731383463717e-05,14
