candidate,class,precision,recall,f1,support
classblend_84_classwise_research_blend_GALAXY_a0p0350,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_84_classwise_research_blend_GALAXY_a0p0400,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_84_classwise_research_blend_GALAXY_a0p0400,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_84_classwise_research_blend_GALAXY_a0p0400,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_68_research_material_stack_GALAXY_a0p0150,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_68_research_material_stack_GALAXY_a0p0150,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_68_research_material_stack_GALAXY_a0p0150,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_68_research_material_stack_GALAXY_a0p0200,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_68_research_material_stack_GALAXY_a0p0200,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_68_research_material_stack_GALAXY_a0p0200,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_68_research_material_stack_GALAXY_a0p0250,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_68_research_material_stack_GALAXY_a0p0250,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_68_research_material_stack_GALAXY_a0p0250,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_68_research_material_stack_STAR_a0p0150,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_68_research_material_stack_STAR_a0p0150,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_68_research_material_stack_STAR_a0p0150,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_68_research_material_stack_STAR_a0p0200,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_68_research_material_stack_STAR_a0p0200,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_68_research_material_stack_STAR_a0p0200,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_68_research_material_stack_STAR_a0p0250,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_68_research_material_stack_STAR_a0p0250,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_68_research_material_stack_STAR_a0p0250,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0300,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0300,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0300,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0350,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0350,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_90_subset_guard_68_plus_84_GALAXY_a0p0350,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_90_subset_guard_68_plus_84_STAR_a0p0300,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_90_subset_guard_68_plus_84_STAR_a0p0300,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_90_subset_guard_68_plus_84_STAR_a0p0300,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_90_subset_guard_68_plus_84_STAR_a0p0350,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_90_subset_guard_68_plus_84_STAR_a0p0350,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
classblend_90_subset_guard_68_plus_84_STAR_a0p0350,STAR,0.8835669739250523,0.9744934964460132,0.9268054334017394,82724
classblend_68_research_material_stack_GALAXY_a0p0300,GALAXY,0.990796774634413,0.9602707428208117,0.9752949564796255,377480
classblend_68_research_material_stack_GALAXY_a0p0300,QSO,0.9518792615998669,0.9772073448690917,0.9643770297763719,117143
