name,oof_balanced_accuracy,oof_delta_vs_base,selected_rows,test_selected_rows,feature_mask,transition_rule,challenger_conf_min,challenger_margin_min,base_conf_max,class_recalls,transition_counts,outcome_counts,meta_fold_mean_delta,meta_fold_min_delta,meta_fold_positive_rate
gi_7_9_base_galaxy_to_star_c0_40_m0_12_b0_60,0.9705686751195287,4.0689254490411386e-05,93,45,gi_7_9,base_galaxy_to_star,0.4,0.12,0.6,"{'GALAXY': 0.9599475468899015, 'QSO': 0.977301247193601, 'STAR': 0.9744572312750834}",{'GALAXY->STAR': 93},"{'broken': 68, 'fixed': 25}",4.068930326063036e-05,-4.1666355771519115e-05,0.76
gi_7_9_base_galaxy_to_star_c0_45_m0_12_b0_60,0.9705686751195287,4.0689254490411386e-05,93,45,gi_7_9,base_galaxy_to_star,0.45,0.12,0.6,"{'GALAXY': 0.9599475468899015, 'QSO': 0.977301247193601, 'STAR': 0.9744572312750834}",{'GALAXY->STAR': 93},"{'broken': 68, 'fixed': 25}",4.068930326063036e-05,-4.1666355771519115e-05,0.76
high_gi_low_rz_base_galaxy_to_star_c0_55_m0_12_b0_60,0.9705686751195287,4.0689254490411386e-05,93,45,high_gi_low_rz,base_galaxy_to_star,0.55,0.12,0.6,"{'GALAXY': 0.9599475468899015, 'QSO': 0.977301247193601, 'STAR': 0.9744572312750834}",{'GALAXY->STAR': 93},"{'broken': 68, 'fixed': 25}",4.068930326063036e-05,-4.1666355771519115e-05,0.76
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_40_m0_12_b0_60,0.9705686751195287,4.0689254490411386e-05,93,45,high_gi_low_rz,base_galaxy_to_non_galaxy,0.4,0.12,0.6,"{'GALAXY': 0.9599475468899015, 'QSO': 0.977301247193601, 'STAR': 0.9744572312750834}",{'GALAXY->STAR': 93},"{'broken': 68, 'fixed': 25}",4.068930326063036e-05,-4.1666355771519115e-05,0.76
gi_7_9_base_galaxy_to_star_c0_55_m0_12_b0_60,0.9705686751195287,4.0689254490411386e-05,93,45,gi_7_9,base_galaxy_to_star,0.55,0.12,0.6,"{'GALAXY': 0.9599475468899015, 'QSO': 0.977301247193601, 'STAR': 0.9744572312750834}",{'GALAXY->STAR': 93},"{'broken': 68, 'fixed': 25}",4.068930326063036e-05,-4.1666355771519115e-05,0.76
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_50_m0_12_b0_60,0.9705686751195287,4.0689254490411386e-05,93,45,high_gi_low_rz,base_galaxy_to_non_galaxy,0.5,0.12,0.6,"{'GALAXY': 0.9599475468899015, 'QSO': 0.977301247193601, 'STAR': 0.9744572312750834}",{'GALAXY->STAR': 93},"{'broken': 68, 'fixed': 25}",4.068930326063036e-05,-4.1666355771519115e-05,0.76
high_gi_low_rz_base_galaxy_to_star_c0_50_m0_12_b0_60,0.9705686751195287,4.0689254490411386e-05,93,45,high_gi_low_rz,base_galaxy_to_star,0.5,0.12,0.6,"{'GALAXY': 0.9599475468899015, 'QSO': 0.977301247193601, 'STAR': 0.9744572312750834}",{},{},,,
gi_7_9_base_galaxy_to_star_c0_50_m0_12_b0_60,0.9705686751195287,4.0689254490411386e-05,93,45,gi_7_9,base_galaxy_to_star,0.5,0.12,0.6,"{'GALAXY': 0.9599475468899015, 'QSO': 0.977301247193601, 'STAR': 0.9744572312750834}",{},{},,,
gi_7_9_base_galaxy_to_non_galaxy_c0_40_m0_10_b0_60,0.9705679035564864,3.9917691448065895e-05,105,48,gi_7_9,base_galaxy_to_non_galaxy,0.4,0.1,0.6,"{'GALAXY': 0.9599210554201547, 'QSO': 0.977301247193601, 'STAR': 0.9744814080557033}",{},{},,,
gi_7_9_base_galaxy_to_non_galaxy_c0_45_m0_10_b0_60,0.9705679035564864,3.9917691448065895e-05,105,48,gi_7_9,base_galaxy_to_non_galaxy,0.45,0.1,0.6,"{'GALAXY': 0.9599210554201547, 'QSO': 0.977301247193601, 'STAR': 0.9744814080557033}",{},{},,,
gi_7_9_base_galaxy_to_non_galaxy_c0_50_m0_10_b0_60,0.9705679035564864,3.9917691448065895e-05,105,48,gi_7_9,base_galaxy_to_non_galaxy,0.5,0.1,0.6,"{'GALAXY': 0.9599210554201547, 'QSO': 0.977301247193601, 'STAR': 0.9744814080557033}",{},{},,,
high_gi_low_rz_base_galaxy_to_star_c0_45_m0_05_b0_60,0.9705676292609144,3.9643395876143295e-05,122,59,high_gi_low_rz,base_galaxy_to_star,0.45,0.05,0.6,"{'GALAXY': 0.9598839673625092, 'QSO': 0.977301247193601, 'STAR': 0.9745176732266332}",{},{},,,
gi_7_9_base_galaxy_to_star_c0_40_m0_05_b0_60,0.9705676292609144,3.9643395876143295e-05,122,59,gi_7_9,base_galaxy_to_star,0.4,0.05,0.6,"{'GALAXY': 0.9598839673625092, 'QSO': 0.977301247193601, 'STAR': 0.9745176732266332}",{},{},,,
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_50_m0_05_b0_60,0.9705676292609144,3.9643395876143295e-05,122,59,high_gi_low_rz,base_galaxy_to_non_galaxy,0.5,0.05,0.6,"{'GALAXY': 0.9598839673625092, 'QSO': 0.977301247193601, 'STAR': 0.9745176732266332}",{},{},,,
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_45_m0_05_b0_60,0.9705676292609144,3.9643395876143295e-05,122,59,high_gi_low_rz,base_galaxy_to_non_galaxy,0.45,0.05,0.6,"{'GALAXY': 0.9598839673625092, 'QSO': 0.977301247193601, 'STAR': 0.9745176732266332}",{},{},,,
gi_7_9_base_galaxy_to_star_c0_45_m0_05_b0_60,0.9705676292609144,3.9643395876143295e-05,122,59,gi_7_9,base_galaxy_to_star,0.45,0.05,0.6,"{'GALAXY': 0.9598839673625092, 'QSO': 0.977301247193601, 'STAR': 0.9745176732266332}",{},{},,,
high_gi_low_rz_base_galaxy_to_star_c0_40_m0_05_b0_60,0.9705676292609144,3.9643395876143295e-05,122,59,high_gi_low_rz,base_galaxy_to_star,0.4,0.05,0.6,"{'GALAXY': 0.9598839673625092, 'QSO': 0.977301247193601, 'STAR': 0.9745176732266332}",{},{},,,
gi_7_9_base_galaxy_to_star_c0_50_m0_05_b0_60,0.9705676292609144,3.9643395876143295e-05,122,59,gi_7_9,base_galaxy_to_star,0.5,0.05,0.6,"{'GALAXY': 0.9598839673625092, 'QSO': 0.977301247193601, 'STAR': 0.9745176732266332}",{},{},,,
high_gi_low_rz_base_galaxy_to_non_galaxy_c0_40_m0_05_b0_60,0.9705676292609144,3.9643395876143295e-05,122,59,high_gi_low_rz,base_galaxy_to_non_galaxy,0.4,0.05,0.6,"{'GALAXY': 0.9598839673625092, 'QSO': 0.977301247193601, 'STAR': 0.9745176732266332}",{},{},,,
high_gi_low_rz_base_galaxy_to_star_c0_50_m0_05_b0_60,0.9705676292609144,3.9643395876143295e-05,122,59,high_gi_low_rz,base_galaxy_to_star,0.5,0.05,0.6,"{'GALAXY': 0.9598839673625092, 'QSO': 0.977301247193601, 'STAR': 0.9745176732266332}",{},{},,,
gi_7_9_base_galaxy_to_star_c0_45_m0_08_b0_60,0.9705675177749651,3.953190992678213e-05,111,52,gi_7_9,base_galaxy_to_star,0.45,0.08,0.6,"{'GALAXY': 0.9599078096852813, 'QSO': 0.977301247193601, 'STAR': 0.9744934964460132}",{},{},,,
